100124,"Abbeville city, Alabama",2624
100460,"Adamsville city, Alabama",4435
100484,"Addison town, Alabama",749
100676,"Akron town, Alabama",338
100820,"Alabaster city, Alabama",31545
100988,"Albertville city, Alabama",21458
101132,"Alexander City city, Alabama",14849
101228,"Aliceville city, Alabama",2388
101396,"Allgood town, Alabama",628
101660,"Altoona town, Alabama",928
101708,"Andalusia city, Alabama",9081
101756,"Anderson town, Alabama",279
101852,"Anniston city, Alabama",22457
102116,"Arab city, Alabama",8284
102260,"Ardmore town, Alabama",1341
102320,"Argo town, Alabama",4187
102428,"Ariton town, Alabama",745
102500,"Arley town, Alabama",356
102836,"Ashford town, Alabama",2164
102860,"Ashland town, Alabama",1984
102908,"Ashville city, Alabama",2255
102956,"Athens city, Alabama",24522
103004,"Atmore city, Alabama",10006
103028,"Attalla city, Alabama",5940
103076,"Auburn city, Alabama",60258
103220,"Autaugaville town, Alabama",865
103364,"Avon town, Alabama",535
103556,"Babbie town, Alabama",607
103676,"Baileyton town, Alabama",620
103724,"Bakerhill town, Alabama",269
103940,"Banks town, Alabama",174
104660,"Bay Minette city, Alabama",9049
104684,"Bayou La Batre city, Alabama",2636
104852,"Bear Creek town, Alabama",1052
104900,"Beatrice town, Alabama",289
104948,"Beaverton town, Alabama",189
105164,"Belk town, Alabama",211
105692,"Benton town, Alabama",46
105932,"Berry town, Alabama",1120
105980,"Bessemer city, Alabama",26949
106460,"Billingsley town, Alabama",142
107000,"Birmingham city, Alabama",212247
107120,"Black town, Alabama",207
107456,"Blountsville town, Alabama",1698
107672,"Blue Springs town, Alabama",93
107912,"Boaz city, Alabama",9689
108104,"Boligee town, Alabama",311
108248,"Bon Air town, Alabama",114
109016,"Brantley town, Alabama",808
109136,"Brent city, Alabama",4881
109208,"Brewton city, Alabama",5391
109328,"Bridgeport city, Alabama",2372
109400,"Brighton city, Alabama",2885
109424,"Brilliant town, Alabama",887
109736,"Brookside town, Alabama",1340
109808,"Brookwood town, Alabama",1834
110240,"Brundidge city, Alabama",2001
111032,"Butler town, Alabama",1819
111416,"Calera city, Alabama",12972
111512,"Camden city, Alabama",1933
111680,"Camp Hill town, Alabama",992
112016,"Carbon Hill city, Alabama",1980
112040,"Cardiff town, Alabama",54
112160,"Carolina town, Alabama",299
112304,"Carrollton town, Alabama",989
112496,"Castleberry town, Alabama",566
112760,"Cedar Bluff town, Alabama",1816
113264,"Center Point city, Alabama",16777
113648,"Centre city, Alabama",3595
113672,"Centreville city, Alabama",2705
114008,"Chatom town, Alabama",1237
114104,"Chelsea city, Alabama",11758
114152,"Cherokee town, Alabama",1024
114392,"Chickasaw city, Alabama",5981
114464,"Childersburg city, Alabama",5068
115064,"Citronelle city, Alabama",3885
115136,"Clanton city, Alabama",8727
115256,"Clay city, Alabama",9700
115304,"Clayhatchee town, Alabama",576
115376,"Clayton town, Alabama",2947
115472,"Cleveland town, Alabama",1316
115640,"Clio city, Alabama",1547
116000,"Coaling town, Alabama",1663
116240,"Coffee Springs town, Alabama",228
116264,"Coffeeville town, Alabama",341
116312,"Coker town, Alabama",985
116600,"Collinsville town, Alabama",1976
116684,"Colony town, Alabama",271
116744,"Columbia town, Alabama",741
116768,"Columbiana city, Alabama",4213
117176,"Coosada town, Alabama",1230
117368,"Cordova city, Alabama",2035
117824,"Cottonwood town, Alabama",1275
117968,"County Line town, Alabama",261
118040,"Courtland town, Alabama",604
118088,"Cowarts town, Alabama",1953
118304,"Creola city, Alabama",1942
118856,"Crossville town, Alabama",1846
118952,"Cuba town, Alabama",323
118976,"Cullman city, Alabama",15145
119216,"Cusseta town, Alabama",123
119336,"Dadeville city, Alabama",3184
119360,"Daleville city, Alabama",5142
119648,"Daphne city, Alabama",24395
119744,"Dauphin Island town, Alabama",1242
119816,"Daviston town, Alabama",212
119912,"Dayton town, Alabama",50
120008,"Deatsville town, Alabama",1158
120104,"Decatur city, Alabama",55532
120296,"Demopolis city, Alabama",7182
120392,"Detroit town, Alabama",230
120955,"Dodge City town, Alabama",599
121136,"Dora city, Alabama",1969
121184,"Dothan city, Alabama",68409
121280,"Double Springs town, Alabama",1068
121328,"Douglas town, Alabama",757
121448,"Dozier town, Alabama",332
121952,"Dutton town, Alabama",312
122216,"East Brewton city, Alabama",2426
122816,"Eclectic town, Alabama",1015
123176,"Edwardsville town, Alabama",204
123296,"Elba city, Alabama",3893
123320,"Elberta town, Alabama",1634
123344,"Eldridge town, Alabama",128
123488,"Elkmont town, Alabama",462
123656,"Elmore town, Alabama",1274
123872,"Emelle town, Alabama",50
124184,"Enterprise city, Alabama",27772
124256,"Epes town, Alabama",183
124472,"Ethelsville town, Alabama",74
124568,"Eufaula city, Alabama",12781
124664,"Eutaw town, Alabama",2788
124688,"Eva town, Alabama",512
124808,"Evergreen city, Alabama",3773
124880,"Excel town, Alabama",682
125120,"Fairfield city, Alabama",10988
125240,"Fairhope city, Alabama",18089
125384,"Fairview town, Alabama",452
125648,"Falkville town, Alabama",1270
125816,"Faunsdale town, Alabama",94
125840,"Fayette city, Alabama",4524
126200,"Five Points town, Alabama",141
